Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
ITB,Building & Construction ,Equity,Multi-Cap,Blend,North America,U.S.,Materials
HEFA,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
FV,Global Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,
FHLC,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
SPHQ,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
PBW,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
IYH,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
RYT,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
IGLB,Corporate Bonds,Bond,,,North America,U.S.,
ASHR,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
FXL,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
NFRA,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Utilities
SPIP,Inflation-Protected Bonds,Bond,,,North America,U.S.,
FNDC,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
GVI,Total Bond Market,Bond,,,North America,U.S.,
SLQD,Corporate Bonds,Bond,,,North America,U.S.,
EPP,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Pacific ex-Japan,
FLRN,Corporate Bonds,Bond,,,Developed Markets,Broad,
BSCM,Corporate Bonds,Bond,,,North America,U.S.,
HYLS,High Yield Bonds,Bond,,,North America,U.S.,
BAB,National Munis,Bond,,,North America,U.S.,
SGOL,Precious Metals,Commodity,,,,,
KBWB,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,Financials
PZA,National Munis,Bond,,,North America,U.S.,
QYLD,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
VONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
SLYG,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,
VGLT,Government Bonds,Bond,,,North America,U.S.,
ICF,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
IYF,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
RPV,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,
IYT,Transportation Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
AMJ,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
VOOV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
HACK,Technology Equities,Equity,Multi-Cap,Blend,North America,U.S.,Technology
FEZ,Europe Equities,Equity,Mega-Cap,Blend,Developed Europe,Broad,
UPRO,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
FMB,National Munis,Bond,,,North America,U.S.,
FPX,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
HEDJ,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
DGS,Emerging Markets Equities,Equity,Small-Cap,Blend,Emerging Markets,Broad,
SPXL,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
DEM,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
FBT,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
HYS,High Yield Bonds,Bond,,,Developed Markets,Broad,
PRFZ,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
DBC,Commodities,Commodity,,,,,
PEJ,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
BSCL,Corporate Bonds,Bond,,,Developed Markets,Broad,
TNA,Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,
GXC,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
ROBO,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Technology
EMLP,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
IYE,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
GNR,Commodity Producers Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
TECL,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
DES,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
PGF,Preferred Stock/Convertible Bonds,Preferred Stock,Micro-Cap,Blend,North America,U.S.,
BSCN,Corporate Bonds,Bond,,,Developed Markets,Broad,
